Id;Nombre;Autor;Comprar;Regalar;Descargar
104712;Ese Ultimo Momento;Alejandro Sanz;2;0;0
104711;Ese Que Me Dio La Vida;Alejandro Sanz;1;0;0
104705;Cuando Nadie Me Ve;Alejandro Sanz;8;0;0
104703;Corazon Partio;Alejandro Sanz;43;2;0
104700;Amiga Mia;Alejandro Sanz;15;1;0
104707;El Alma Al Aire;Alejandro Sanz;6;0;0
104701;Aquello Que Me Diste;Alejandro Sanz;2;0;0
105101;A gritos de esperanza;Alex Ubago;64;3;0
105102;Aunque no te pueda ver;Alex Ubago;593;28;0
105104;Mil horas;Alex Ubago;0;1;0
105105;Por siempre en mi mente;Alex Ubago;3;1;0
105103;Me arrepiento;Alex Ubago;81;7;0
105106;Te amo mas que a un mundo nuevo;Alexander;30;1;0
105109;Loco Calamaro;Andres Calamaro;1;0;0
105108;Flaca;Andres Calamaro;7;0;0
105107;Crimenes perfectos;Andres Calamaro;21;0;0
105110;Its alright;Ashley Tisdale;8;0;0
105113;Tabaco y chanel;Bacilos;14;1;0
105112;Mi primer millon;Bacilos;1;0;0
105115;Hablame;Beto Cuevas;26;0;0
105116;Vuelvo;Beto Cuevas;8;0;0
105117;Every Rose Has Its Thorn Acoustic;Bret Michaels;8;0;0
105122;Esto es perreo;Casa de leones;1;0;0
105120;A Veces Pienso;Casa de leones;0;1;0
105124;No Te Veo;Casa de leones;42;0;0
105125;Perfecta ocasion Remix;Casa de leones;65;3;0
105129;La Neta feat Zion;Cruz Martinez presenta Los Super Reyes;1;0;0
105131;Coro;Espacio Sideral;6;0;0
105132;Right Round Featuring Keha;Flo Rida;46;3;0
105133;New York New York Master Ringback;Frank Sinatra;33;2;0
105135;American Idiot;Green Day;35;2;0
105138;Longview;Green Day;2;0;0
105137;Know Your Enemys;Green Day;45;4;0
105141;When I Come Around;Green Day;1;0;0
105134;21 Guns;Green Day;47;3;0
105114;Basket Case;Green Day;6;0;0
105136;Boulevard Of Broken Dream;Green Day;118;3;0
105140;The Simpsons Theme;Green Day;73;4;0
104718;Ill Take Everything Intro;James Blunt;2;0;0
104721;Shine On;James Blunt;2;0;0
104720;One Of The Brightest Stars Intro;James Blunt;1;0;0
104719;One Of The Brightest Stars;James Blunt;1;0;0
104727;Aqui;Jarabe De Palo;3;0;0
104722;Adelantando;Jarabe De Palo;3;0;0
104723;Blablabla;Jarabe De Palo;1;0;0
105145;Im Yours;Jason Mraz;116;4;0
105143;Lucky;Jason Mraz;2;0;0
105147;Llegaste Tu;Jesse Joy;243;11;0
105149;Ya no quiero ver tu foto;Jesse Joy;34;0;0
105150;Alma en libertad;Jorge Villamizar;4;0;0
105151;Lets do it;Jowell Randy;2;0;0
104726;Animal;La Ley;2;0;0
104730;Mentira;La Ley;70;3;0
104734;Invece no;Laura Pausini;313;8;0
105152;En cambio no;Laura Pausini;35;1;0
105153;Primavera anticipada it is my song duet with James Blun;Laura Pausini;25;0;0
105154;Un hecho obvio;Laura Pausini;5;0;0
104735;Black Dog;Led Zeppelin;9;0;0
105156;Leave Out All The Rest;Linkin Park;7;0;0
105155;In the end;Linkin Park;41;4;0
105158;Shadow Of The Day;Linkin Park;6;0;0
105157;New Divide So Give Me Reason;Linkin Park;34;2;0
105160;Dicen;Luis Miguel;3;0;0
105163;La misma de ayer la incondicional;Luis Miguel;16;2;0
105161;El Dia Que Me Quiera;Luis Miguel;9;0;0
105164;No se tu pero yo;Luis Miguel;7;1;0
105165;O Tu O Ninguna;Luis Miguel;1;0;0
105168;Tengo Todo Excepto A Ti;Luis Miguel;8;1;0
105166;Suave como me mata tu mirada;Luis Miguel;1;0;0
105162;Entregate;Luis Miguel;6;2;0
105169;Four minutes;Madonna;2;0;0
105175;Vivir sin aire En vivo;Mamut;20;0;0
105177;Labios compartidos En vivo;Mana;18;2;0
105173;Si no te hubieras ido En vivo 3;Mana;126;8;0
105172;Si no te hubieras ido En vivo 2;Mana;43;0;0
105176;Amante bandido Dueto 2007;Mana;13;0;0
105170;Clavado en un bar En vivo;Mana;6;0;0
105171;Dejame entrar En vivo;Mana;2;0;0
105174;Si no te hubieras ido En vivo 4;Mana;15;0;0
105182;Nada Particular;Mana;1;0;0
105179;Como Un Lobo;Miguel Bose;2;0;0
105183;Nena Dueto 2007;Miguel Bose;5;0;0
105181;Morena mia;Miguel Bose;5;0;0
105184;Sevilla;Miguel Bose;1;0;0
105185;Si Tu No Vuelves shakira;Miguel Bose;41;3;0
