06/01/10;186;3;0
06/02/10;160;6;0
06/03/10;222;8;0
06/04/10;280;6;0
06/05/10;207;5;0
06/06/10;132;6;0
06/07/10;248;5;0
06/08/10;328;4;0
06/09/10;140;7;0
06/10/10;125;3;0
06/11/10;205;6;0
06/12/10;158;10;0
06/13/10;192;15;0
06/14/10;320;11;0
06/15/10;292;12;0
06/16/10;162;2;0
06/17/10;108;5;0
06/18/10;146;12;0
06/19/10;97;7;0
06/20/10;125;10;0
06/21/10;141;7;0
06/22/10;115;12;0
06/23/10;109;10;0
06/24/10;127;12;0
06/25/10;123;5;0
06/26/10;144;2;0
06/27/10;108;3;0
06/28/10;83;8;0
06/29/10;107;7;0
06/30/10;154;9;0
Total;5044;218;0
