03/01/10;264;11;0
03/02/10;227;10;0
03/03/10;315;13;0
03/04/10;397;17;0
03/05/10;294;12;0
03/06/10;188;8;0
03/07/10;351;15;0
03/08/10;302;20;0
03/09/10;198;8;0
03/10/10;177;8;0
03/11/10;290;12;0
03/12/10;224;10;0
03/13/10;272;7;0
03/14/10;455;19;0
03/15/10;414;18;0
03/16/10;230;10;0
03/17/10;153;7;0
03/18/10;208;9;0
03/19/10;138;6;0
03/20/10;178;8;0
03/21/10;201;9;0
03/22/10;163;7;0
03/23/10;155;7;0
03/24/10;180;8;0
03/25/10;174;7;0
03/26/10;207;9;0
03/27/10;153;7;0
03/28/10;118;5;0
03/29/10;148;8;0
03/30/10;219;4;0
03/31/10;163;5;0
Total;7156;304;0
