Id;Nombre;Autor;Comprar;Regalar;Descargar
104701;Aquello Que Me Diste;Alejandro Sanz;7;1;0
104706;Duelo Al Amanecer;Alejandro Sanz;2;0;0
104708;Ellos Son Asi;Alejandro Sanz;2;0;0
104709;Eres Mia;Alejandro Sanz;2;0;0
104702;Completamente Loca;Alejandro Sanz;1;0;0
104703;Corazon Partio;Alejandro Sanz;204;8;0
104705;Cuando Nadie Me Ve;Alejandro Sanz;20;0;0
104710;Es Este Amor;Alejandro Sanz;1;0;0
104714;Hay Un Universo De Pequeas Cosas;Alejandro Sanz;3;1;0
104717;La Margarita Dijo No;Alejandro Sanz;4;0;0
104704;Al olvido invito yo;Alejandro Sanz;0;1;0
104711;Ese Que Me Dio La Vida;Alejandro Sanz;1;0;0
104712;Ese Ultimo Momento;Alejandro Sanz;8;0;0
104713;Eso;Alejandro Sanz;8;0;0
104699;12 por 8;Alejandro Sanz;1;0;0
104700;Amiga Mia;Alejandro Sanz;35;2;0
104716;Hoy llueve hoy duele;Alejandro Sanz;1;0;0
104707;El Alma Al Aire;Alejandro Sanz;7;1;0
104721;Shine On;James Blunt;1;2;0
104720;One Of The Brightest Stars Intro;James Blunt;7;1;0
104719;One Of The Brightest Stars;James Blunt;1;1;0
104724;Ole;James Blunt;3;0;0
104722;Adelantando;Jarabe De Palo;12;0;0
104725;Amate y salvate;Jarabe De Palo;7;2;0
104727;Aqui;Jarabe De Palo;30;3;0
104726;Animal;La Ley;3;0;0
104730;Mentira;La Ley;530;20;0
104733;Vi;La Ley;4;0;0
104732;Verano espacial;La Ley;5;0;0
104731;Tanta Ciudad;La Ley;3;0;0
104729;Delirando;La Ley;3;1;0
104734;Invece no;Laura Pausini;1055;32;0
104735;Black Dog;Led Zeppelin;37;3;0
104541;Risas;Wazzup;3;0;0
