07/01/10;131;2;0
07/02/10;112;3;0
07/03/10;156;4;0
07/04/10;196;3;0
07/05/10;146;3;0
07/06/10;93;3;0
07/07/10;174;3;0
07/08/10;231;2;0
07/09/10;98;4;0
07/10/10;88;1;0
07/11/10;144;3;0
07/12/10;111;6;0
07/13/10;135;8;0
07/14/10;225;6;0
07/15/10;205;7;0
07/16/10;114;1;0
07/17/10;76;3;0
07/18/10;103;7;0
07/19/10;68;4;0
07/20/10;88;6;0
07/21/10;99;4;0
07/22/10;81;7;0
07/23/10;77;5;0
07/24/10;89;7;0
07/25/10;86;3;0
07/26/10;101;1;0
07/27/10;76;2;0
07/28/10;59;4;0
07/29/10;73;5;0
07/30/10;108;5;0
07/31/10;93;3;0
Total;3636;125;0
