01/01/10;315;8;0
01/02/10;356;7;0
01/03/10;494;11;0
01/04/10;323;8;0
01/05/10;462;6;0
01/06/10;295;11;0
01/07/10;452;9;0
01/08/10;731;5;0
01/09/10;311;8;0
01/10/10;278;9;0
01/11/10;257;6;0
01/12/10;250;17;0
01/13/10;428;13;0
01/14/10;714;12;0
01/15/10;351;19;0
01/16/10;362;5;0
01/17/10;241;9;0
01/18/10;226;12;0
01/19/10;217;11;0
01/20/10;279;19;0
01/21/10;215;19;0
01/22/10;256;12;0
01/23/10;244;21;0
01/24/10;283;11;0
01/25/10;274;13;0
01/26/10;321;6;0
01/27/10;241;8;0
01/28/10;186;11;0
01/29/10;216;10;0
01/30/10;232;7;0
01/31/10;253;3;0
Total;10063;326;0
