Id;Nombre;Autor;Comprar;Regalar;Descargar
105106;Te amo mas que a un mundo nuevo;Alexander;9;0;0
105167;Te desean;Luis Miguel;1;0;0
105436;Te extrano 2;Francisco Cespedes;2;0;0
105190;Teenager;My Chemical Romance;27;1;0
105168;Tengo Todo Excepto A Ti;Luis Miguel;5;1;0
105196;That What You Get;Paramore;30;4;0
105464;The Only Exception;Paramore;1;0;0
105140;The Simpsons Theme;Green Day;74;4;0
105405;Tocando Fondo-;Ricardo Arjona;192;7;0
105485;Traicion;Miranda;5;0;0
105486;Tu juego;Miranda;5;0;0
105433;Tu no sabes que tanto con Alex Ubago Directo 09;Carlos Baute;5;0;0
105437;Turn Ya Head;Heidi Montag;2;0;0
105154;Un hecho obvio;Laura Pausini;1;0;0
105487;Uno los Dos;Miranda;23;3;0
105443;Valiente;Koko;2;0;0
104732;Verano espacial;La Ley;1;0;0
105488;Vete de aqui;Miranda;2;0;0
105228;Vidas paralelas;Ximena Sarinana;1;0;0
105175;Vivir sin aire En vivo;Mamut;2;0;0
105148;Volvere por siempre;Jesse Joy;6;0;0
105116;Vuelvo;Beto Cuevas;5;0;0
105141;When I Come Around;Green Day;17;0;0
105465;Where The Lines Overlap;Paramore;4;0;0
105149;Ya no quiero ver tu foto;Jesse Joy;104;3;0
105203;Yo puedo hacer que tus tristezas;Ricardo Montaner;4;0;0
;;;12027;552;0
