02/01/10;273;14;0
02/02/10;234;12;0
02/03/10;325;16;0
02/04/10;410;20;0
02/05/10;304;15;0
02/06/10;194;10;0
02/07/10;363;18;0
02/08/10;481;24;0
02/09/10;204;10;0
02/10/10;183;9;0
02/11/10;300;15;0
02/12/10;231;12;0
02/13/10;281;14;0
02/14/10;469;23;0
02/15/10;428;21;0
02/16/10;238;12;0
02/17/10;158;8;0
02/18/10;214;11;0
02/19/10;143;7;0
02/20/10;183;9;0
02/21/10;207;10;0
02/22/10;168;8;0
02/23/10;160;8;0
02/24/10;186;9;0
02/25/10;180;9;0
02/26/10;211;11;0
02/27/10;159;8;0
02/28/10;122;7;0
Total;7009;350;0
