05/01/10;961;5;0
05/02/10;824;8;0
05/03/10;1144;11;0
05/04/10;1442;8;0
05/05/10;1070;6;0
05/06/10;683;8;0
05/07/10;1278;7;0
05/08/10;1692;6;0
05/09/10;720;9;0
05/10/10;644;4;0
05/11/10;1056;8;0
05/12/10;815;14;0
05/13/10;991;20;0
05/14/10;1653;15;0
05/15/10;1507;16;0
05/16/10;838;3;0
05/17/10;558;7;0
05/18/10;755;17;0
05/19/10;502;10;0
05/20/10;646;14;0
05/21/10;729;10;0
05/22/10;593;17;0
05/23/10;565;13;0
05/24/10;655;16;0
05/25/10;634;7;0
05/26/10;743;2;0
05/27/10;558;4;0
05/28/10;431;11;0
05/29/10;539;11;0
05/30/10;796;12;0
05/31/10;666;7;0
Total;26688;306;0
