08/01/10;437;7;0
08/02/10;375;11;0
08/03/10;520;16;0
08/04/10;656;12;0
08/05/10;487;9;0
08/06/10;311;12;0
08/07/10;581;10;0
08/08/10;770;8;0
08/09/10;328;13;0
08/10/10;293;5;0
08/11/10;480;11;0
08/12/10;371;20;0
08/13/10;451;29;0
08/14/10;752;21;0
08/15/10;686;23;0
08/16/10;381;4;0
08/17/10;254;10;0
08/18/10;343;24;0
08/19/10;229;14;0
08/20/10;294;20;0
08/21/10;332;14;0
08/22/10;270;24;0
08/23/10;257;19;0
08/24/10;298;23;0
08/25/10;289;10;0
08/26/10;338;3;0
08/27/10;254;6;0
08/28/10;196;16;0
08/29/10;245;13;0
08/30/10;362;17;0
08/31/10;300;9;0
Total;12140;433;0
