Nombre;Comprar;Regalar;Descargar
12/01/09;394;9
12/02/09;488;15
12/03/09;329;21
12/04/09;732;16
12/05/09;521;12
12/06/09;554;16
12/07/09;418;13
12/08/09;299;11
12/09/09;316;18
12/10/09;452;7
12/11/09;239;15
12/12/09;299;27
12/13/09;355;39
12/14/09;412;28
12/15/09;651;31
12/16/09;322;5
12/17/09;288;14
12/18/09;451;19
12/19/09;356;19
12/20/09;482;27
12/21/09;328;19
12/22/09;287;32
12/23/09;321;25
12/24/09;324;31
12/25/09;266;13
12/26/09;421;4
12/27/09;312;8
12/28/09;311;21
12/29/09;315;16
12/30/09;429;14
12/31/09;355;7
Total;12027;552
