Id;Nombre;Autor;Comprar;Regalar;Descargar
104700;Amiga Mia;Alejandro Sanz;30;0;0
104705;Cuando Nadie Me Ve;Alejandro Sanz;10;0;0
104703;Corazon Partio;Alejandro Sanz;91;2;0
104716;Hoy llueve hoy duele;Alejandro Sanz;7;0;0
104707;El Alma Al Aire;Alejandro Sanz;14;0;0
105402;Looking for paradise;Alejandro Sanz feat. Alicia Keys;64;1;0
105101;A gritos de esperanza;Alex Ubago;400;5;0
105103;Me arrepiento;Alex Ubago;3869;40;0
105102;Aunque no te pueda ver;Alex Ubago;2839;40;0
105105;Por siempre en mi mente;Alex Ubago;14;0;0
105106;Te amo mas que a un mundo nuevo;Alexander;64;0;0
105109;Loco Calamaro;Andres Calamaro;17;0;0
105108;Flaca;Andres Calamaro;51;2;0
105107;Crimenes perfectos;Andres Calamaro;3;0;0
105110;Its alright;Ashley Tisdale;10;0;0
105112;Mi primer millon;Bacilos;166;2;0
105111;Caraluna;Bacilos;17;0;0
105113;Tabaco y chanel;Bacilos;210;3;0
105116;Vuelvo;Beto Cuevas;17;0;0
105115;Hablame;Beto Cuevas;586;8;0
105117;Every Rose Has Its Thorn Acoustic;Bret Michaels;10;0;0
105403;Colgando en tus manos (Remix) feat Marta Sanchez;Carlos Baute;1138;11;0
105118;Colgando en tus manos;Carlos Baute;5126;53;0
105433;Tu no sabes que tanto con Alex Ubago Directo 09;Carlos Baute;3;0;0
105122;Esto es perreo;Casa de leones;7;0;0
105124;No Te Veo;Casa de leones;342;4;0
105125;Perfecta ocasion Remix;Casa de leones;88;1;0
105127;Rastrillera Remix;Casa de leones;7;0;0
105120;A Veces Pienso;Casa de leones;7;0;0
105404;Meet Me On The Equinox;Death Cab For Cutie;7;0;0
105132;Right Round Featuring Keha;Flo Rida;61;0;0
105133;New York New York Master Ringback;Frank Sinatra;24;0;0
105140;The Simpsons Theme;Green Day;159;2;0
105141;When I Come Around;Green Day;44;0;0
105139;She;Green Day;14;0;0
105137;Know Your Enemys;Green Day;71;2;0
105114;Basket Case;Green Day;20;0;0
105136;Boulevard Of Broken Dream;Green Day;386;6;0
105134;21 Guns;Green Day;298;6;0
105135;American Idiot;Green Day;61;0;0
104719;One Of The Brightest Stars;James Blunt;7;0;0
104722;Adelantando;Jarabe De Palo;7;0;0
105143;Lucky;Jason Mraz;34;0;0
105145;Im Yours;Jason Mraz;603;6;0
105439;Adios 2;Jesse Joy;14;0;0
105149;Ya no quiero ver tu foto;Jesse Joy;30;0;0
105440;Chocolate 2;Jesse Joy;3;0;0
105146;Dulce Melodia;Jesse Joy;3;0;0
105147;Llegaste Tu;Jesse Joy;102;1;0
105148;Volvere por siempre;Jesse Joy;3;0;0
105443;Valiente;Koko;3;0;0
104733;Vi;La Ley;3;0;0
104731;Tanta Ciudad;La Ley;3;0;0
104730;Mentira;La Ley;166;5;0
105152;En cambio no;Laura Pausini;657;8;0
