04/01/10;527;9;0
04/02/10;452;16;0
04/03/10;628;22;0
04/04/10;792;17;0
04/05/10;587;12;0
04/06/10;375;17;0
04/07/10;701;13;0
04/08/10;929;11;0
04/09/10;395;19;0
04/10/10;353;7;0
04/11/10;579;16;0
04/12/10;447;28;0
04/13/10;544;40;0
04/14/10;907;29;0
04/15/10;827;32;0
04/16/10;460;5;0
04/17/10;306;15;0
04/18/10;414;33;0
04/19/10;276;20;0
04/20/10;355;28;0
04/21/10;400;20;0
04/22/10;325;33;0
04/23/10;310;26;0
04/24/10;360;32;0
04/25/10;348;13;0
04/26/10;408;4;0
04/27/10;306;8;0
04/28/10;236;22;0
04/29/10;296;23;0
04/30/10;439;24;0
Total;14282;594;0
