Id;Nombre;Autor;Comprar;Regalar;Descargar
105401;Dont trust me Benny Blanco Remix Feat Kid Cudi;3OH!3;2;0;0
104704;Al olvido invito yo;Alejandro Sanz;1;1;0
104703;Corazon Partio;Alejandro Sanz;32;1;0
104700;Amiga Mia;Alejandro Sanz;3;0;0
104701;Aquello Que Me Diste;Alejandro Sanz;3;0;0
104713;Eso;Alejandro Sanz;0;1;0
104714;Hay Un Universo De Pequeas Cosas;Alejandro Sanz;1;0;0
104712;Ese Ultimo Momento;Alejandro Sanz;1;0;0
104705;Cuando Nadie Me Ve;Alejandro Sanz;4;0;0
104707;El Alma Al Aire;Alejandro Sanz;2;0;0
105402;Looking for paradise;Alejandro Sanz feat. Alicia Keys;32;3;0
105101;A gritos de esperanza;Alex Ubago;65;1;0
105102;Aunque no te pueda ver;Alex Ubago;996;50;0
105104;Mil horas;Alex Ubago;2;0;0
105105;Por siempre en mi mente;Alex Ubago;1;0;0
105103;Me arrepiento;Alex Ubago;555;30;0
105106;Te amo mas que a un mundo nuevo;Alexander;14;0;0
105107;Crimenes perfectos;Andres Calamaro;6;0;0
105108;Flaca;Andres Calamaro;24;1;0
105109;Loco Calamaro;Andres Calamaro;4;0;0
105110;Its alright;Ashley Tisdale;7;2;0
105111;Caraluna;Bacilos;1;0;0
105112;Mi primer millon;Bacilos;2;0;0
105113;Tabaco y chanel;Bacilos;6;1;0
105115;Hablame;Beto Cuevas;77;3;0
105116;Vuelvo;Beto Cuevas;6;1;0
105117;Every Rose Has Its Thorn Acoustic;Bret Michaels;1;0;0
105403;Colgando en tus manos (Remix) feat Marta Sanchez;Carlos Baute;117;10;0
105118;Colgando en tus manos;Carlos Baute;508;39;0
105125;Perfecta ocasion Remix;Casa de leones;15;0;0
105124;No Te Veo;Casa de leones;23;0;0
105404;Meet Me On The Equinox;Death Cab For Cutie;6;0;0
105434;Corazon de Acero;Diego Dibos;3;0;0
105132;Right Round Featuring Keha;Flo Rida;39;0;0
105436;Te extrano 2;Francisco Cespedes;2;0;0
105435;Solamente una vez;Francisco Cespedes;1;0;0
105133;New York New York Master Ringback;Frank Sinatra;20;0;0
105135;American Idiot;Green Day;20;2;0
105138;Longview;Green Day;2;0;0
105137;Know Your Enemys;Green Day;36;2;0
105141;When I Come Around;Green Day;12;0;0
105134;21 Guns;Green Day;165;12;0
105140;The Simpsons Theme;Green Day;79;7;0
105136;Boulevard Of Broken Dream;Green Day;256;13;0
105139;She;Green Day;3;0;0
105114;Basket Case;Green Day;21;1;0
104719;One Of The Brightest Stars;James Blunt;2;0;0
104718;Ill Take Everything Intro;James Blunt;2;0;0
105142;Love Love;James Blunt;1;0;0
104721;Shine On;James Blunt;1;0;0
104722;Adelantando;Jarabe De Palo;1;1;0
104727;Aqui;Jarabe De Palo;2;0;0
105145;Im Yours;Jason Mraz;164;9;0
105149;Ya no quiero ver tu foto;Jesse Joy;26;1;0
105441;Electricidad;Jesse Joy;1;0;0
105439;Adios 2;Jesse Joy;6;0;0
105148;Volvere por siempre;Jesse Joy;1;0;0
105440;Chocolate 2;Jesse Joy;1;0;0
105442;Si te vas 2;Jesse Joy;1;0;0
105147;Llegaste Tu;Jesse Joy;101;4;0
105151;Lets do it;Jowell Randy;1;0;0
104725;Amate y salvate;La Ley;3;3;0
104729;Delirando;La Ley;1;0;0
104730;Mentira;La Ley;49;2;0
104734;Invece no;Laura Pausini;122;7;0
105153;Primavera anticipada it is my song duet with James Blun;Laura Pausini;7;0;0
105152;En cambio no;Laura Pausini;54;2;0
105154;Un hecho obvio;Laura Pausini;2;0;0
104735;Black Dog;Led Zeppelin;3;0;0
105157;New Divide So Give Me Reason;Linkin Park;214;12;0
105156;Leave Out All The Rest;Linkin Park;81;5;0
105158;Shadow Of The Day;Linkin Park;51;1;0
105155;In the end;Linkin Park;361;18;0
