A10302B0000053672V;Red Hot Chili Peppers;Scar Tissue (Master Ringback);RingBackTone;Scar_Tissue_Master_Ringback-Rock-Red_Hot_Chili_Peppers.mp3
A10302B0000053673T;Red Hot Chili Peppers;Give It Away (Master Ringback);RingBackTone;Give_It_Away_Master_Ringback-Rock-Red_Hot_Chili_Peppers.mp3
A10302B0000053674R;Red Hot Chili Peppers;Californication (Master Ringback);RingBackTone;Californication_Master_Ringback-Rock-Red_Hot_Chili_Peppers.mp3
A10302B0000078720M;Simple Plan;Jump;RingBackTone;Jump-POP-Simple_Plan.mp3
A10302B0000078811G;Villanos;Sin Mi;RingBackTone;Sin_Mi-Latinos-Villanos.mp3
A10302B0000080140A;Fito Paez;Y Dale Alegria A Mi Corazon;RingBackTone;Y_Dale_Alegria_A_Mi_Corazon-Latinos-Fito_Paez.mp3
A10302B00000801434;Fito Paez;A Rodar Mi Vida;RingBackTone;A_Rodar_Mi_Vida-Latinos-Fito_Paez.mp3
A10302B0000080146X;Fito Paez;Circo Beat;RingBackTone;Circo_Beat-Latinos-Fito_Paez.mp3
A10302B00000801514;Fito Paez;El Diablo En Tu Corazon;RingBackTone;El_Diablo_En_Tu_Corazon-Latinos-Fito_Paez.mp3
A10302B00000803122;Fito Paez;Dos En La Ciudad;RingBackTone;Dos_En_La_Ciudad-Latinos-Fito_Paez.mp3
A10302B0000093964X;Maná;En el muelle de San Blás (Master Ringback);RingBackTone;En_el_muelle_de_San_Blas_Master_Ringback-Latinos-Man.mp3
A10302B0000101947Y;La Ley;Mirate;RingBackTone;Mirate-Latino-La_Ley.mp3
A10302B0000101956W;La Ley;¡Amate y sálvate!;RingBackTone;Amate_y_salvate-Latino-La_Ley.mp3
A10302B0000101964W;La Ley;Mentira;RingBackTone;Mentira-Latinos-La_Ley.mp3
A10302B0000102614N;La Ley;Aquí;RingBackTone;Aqui-Latinos-La_Ley.mp3
A10302B00001067349;Alejandro Sanz;No es lo mismo;RingBackTone;No_es_lo_mismo-Latinos-Alejandro_Sanz.mp3
A10302B0000106844Y;Alejandro Sanz;Corazon Partio;RingBackTone;Corazon_Partio-Latinos-Alejandro_Sanz.mp3
A10302B0000106855S;Alejandro Sanz;El Alma Al Aire;RingBackTone;El_Alma_Al_Aire-Latinos-Alejandro_Sanz.mp3
A10302B0000111323T;Madonna;Burning Up (Master Ringback);RingBackTone;Burning_Up_Master_Ringback-Pop-Madonna.mp3
A10302B0000111330V;Madonna;Into The Groove;RingBackTone;Into_The_Groove-Pop-Madonna.mp3
