Alcatel One Touch C651;.*Alcatel\-CTH3.*
Nokia 6270;.*Nokia6270.*
Nokia 6590;.*Nokia6590.*
Nokia 6600;.*Nokia6600.*
Nokia 6630;.*Nokia6630.*
Nokia 6670;.*Nokia6670.*
Nokia 6680;.*Nokia6680.*
Nokia 6800;.*Nokia6800.*
Nokia 6820;.*Nokia6820.*
Motorola MotoMB300;.*MOT-MB300.*
RIM BlackBerry 9520;.*BlackBerry9520.*
Nokia 7190;.*Nokia7190.*
Nokia 7200;.*Nokia7200.*
Nokia 7260;.*Nokia7260.*
Nokia 7280;.*Nokia7280.*
Nokia 7610;.*Nokia7610.*
Nokia N7710;.*Nokia7710.*
Samsung GT-S8000;.*SAMSUNG\-GT\-S8000.*
Motorola MotoA853;.*A853.*
LG LG-GM600;.*LG\-GM600.*
Nokia E62;.*NokiaE62.*
Nokia N7230;.*Nokia7230.*
Nokia N73;.*NokiaN73.*
Openwave OPWV-SDK/62;.*OPWV\-SDK.*
Panasonic X300;.*Panasonic\-X300.*
Panasonic X400;.*Panasonic\-X400.*
Panasonic x60;.*Panasonic\-X60.*
Panasonic x66;.*Panasonic\-X66.*
Pantech PG-1210;.*PG\-1200.*
Pantech PG-C120;.*PG\-C120.*
RIM BlackBerry 9700;.*BlackBerry9700.*
Sagem myC5-2/1.0;.*SAGEM\-myC5\-2.*
Sagem myV-75/1.0;.*SAGEM\-myV\-75.*
Sagem myX-8/1.0;.*SAGEM\-myX\-8.*
Sagem myX5-2/1.0;.*SAGEM\-myX5.*
Sagem myX6-2/1.0;.*SAGEM\-myX6.*
Sony Ericsson U5a;.*SonyEricssonU5.*
LG LG-KP501;.*LG\-KP501.*
Siemens A76;.*SIE\-A76.*
Motorola MOTOROKR Z6;.*MOTOROKR\ Z6.*
Sony Ericsson S500i;.*SonyEricssonS500.*
Nokia N75-3;.*NokiaN75\-3.*
Sony Ericsson W660i;.*SonyEricssonW660i\ Opera.*
Nokia 5310XpressMusic;.*Nokia5310XpressMusic.*
Samsung SGH-i617;.*SAMSUNG\-SGH\-I617.*
Nokia E61i-1;.*NokiaE61.*
Nokia 5235;.*Nokia5235.*
Motorola V400;.*MOT\-V400.*
Samsung GT-E2121L;.*SAMSUNG\-GT\-E2121.*
Motorola V547;.*MOT\-V547.*
Motorola V551;.*MOT\-V551.*
Motorola V600;.*MOT\-V600.*
Motorola V635;.*MOT\-V635.*
Motorola V975;.*MOT\-V975.*
Motorola W220;.*MOT\-W220.*
Samsung Z105;.*Mozilla\/SMB3\(Z105\)\/Samsung.*
Motorola ZN200;.*MOT\-ZN200.*
Samsung GT-S5600L;.*SAMSUNG\-GT\-S5600L.*
Samsung SGH-F488;.*SAMSUNG\-SGH\-F488.*
Nokia 2610;.*Nokia2610.*
Nokia 2650;.*Nokia2650.*
LG LG-GC900;.*LG\-GC900.*
Nokia 3200;.*Nokia3200.*
Nokia 3220;.*Nokia3220.*
Nokia 3300;.*Nokia3300.*
Samsung SGH-T339;.*SAMSUNG\-SGH\-T339.*
Samsung SGH-T239;.*SAMSUNG\-SGH\-T239.*
LG LGE/CU920;.*LG\-CU920.*
Nokia 2320c-2b;.*Nokia2320.*
Sony Ericsson T715a;.*SonyEricssonT715.*
Nokia 3595;.*Nokia3595.*
Nokia 3620;.*Nokia3620.*
Nokia 3660;.*Nokia3660.*
Nokia 6020;.*Nokia6020.*
Nokia 6021;.*Nokia6021.*
Nokia 6070;.*Nokia6070.*
Nokia 6101;.*Nokia6101.*
Nokia 6103;.*Nokia6103.*
Nokia 6111;.*Nokia6111.*
Nokia 6200;.*Nokia6200.*
Nokia 6230;.*Nokia6230.*
Nokia 6260;.*Nokia6260.*
Nokia 6560;.*Nokia6560.*
Nokia 6610;.*Nokia6610.*
Nokia 6620;.*Nokia6620.*
Nokia 6650;.*Nokia6650.*
Nokia 6651;.*Nokia6651.*
Nokia 6131;.*Nokia6131.*
Samsung SGH-E390;.*SAMSUNG\-SGH\-E390.*
Nokia 3500c;.*Nokia3500.*
Samsung SGH-Z720;.*SAMSUNG\-SGH\-Z720.*
Samsung SGH-B130L;.*SAMSUNG\-SGH\-B130.*
Nokia 6085;.*Nokia6085.*
LG E/MG295;.*LG\-MG295.*
Sony Ericsson T650i;.*SonyEricssonT650i.*
Motorola A1200i;.*MOT-A1200.*
RIM BlackBerry 8310;.*BlackBerry8310.*
Samsung SGH-X640C;.*SAMSUNG\-SGH\-X640.*
LG E/KF300;.*LG\-KF300.*
Nokia 6555;.*Nokia6555.*
RIM BlackBerry 8110;.*BlackBerry8110.*
Motorola MOT-W375;.*MOT\-W375.*
Motorola W5;.*MOT\-W5.*
Samsung SGH-C506;.*SEC\-SGHC506.*
Sony Ericsson T250i;.*SonyEricssonT250.*
Nokia 5300;.*Nokia5300.*
LG E/MG120;.*LG\-MG120.*
Sony Ericsson W580i;.*SonyEricssonW580.*
Alcatel OT-C701;.*Alcatel\-OT\-C701.*
Motorola W510;.*MOT\-W510.*
Nokia 3120;.*Nokia3120.*
Nokia 6060;.*Nokia6060.*
LG ME850d;.*LG\-ME850.*
RIM BlackBerry 8100;.*BlackBerry8100.*
Nokia 2630;.*Nokia2630.*
Motorola MOT-W270;.*MOT\-W270.*
Palm Treo750;.*Palm750.*
Motorola V361;.*MOT\-V361.*
LG E/L600V/V10;.*LG\/L600.*
Motorola v186;.*MOT\-V186.*
Motorola V191;.*MOT\-V191.*
Motorola V220;.*MOT\-V220.*
Motorola V235;.*MOT\-V235.*
Motorola V300;.*MOT\-V300.*
Motorola V360;.*MOT\-V360.*
